51300004375,ffa,262,101
51300018621,adg,41,100
51300055300,eae,18,168
51300059357,fbf,141,228
51300072803,acd,173,88
51300118604,eef,16,103
51300196662,cgb,52,73
51300222000,cfd,30,269
51300237148,bfe,33,286
51300289554,ddg,163,291
51300291348,bcc,197,280
51300303921,ffa,208,90
51300347636,feb,169,256
51300365723,adc,69,197
51300367339,ebf,170,91
51300398745,efd,282,260
51300403409,dbc,55,103
51300464093,bdb,148,290
51300479706,ddf,30,15
51300490206,fdc,51,189
51300520143,fed,17,73
51300614127,fgf,166,78
51300634770,bfc,51,233
51300638745,aaa,144,80
51300668249,dcf,111,121
51300675094,egf,110,33
51300681231,caa,160,186
51300692383,dcc,167,237
51300726387,ccd,153,97
51300726734,ebf,207,107
51300730307,cdd,13,257
51300731670,gbc,132,42
51300750212,fcf,125,88
51300908376,cea,283,74
51300914095,fca,194,289
51301026943,gdc,31,194
51301041172,gbc,162,41
51301074293,dac,157,24
51301092993,abg,25,98
51301099701,afc,296,24
51301102255,fea,281,57
51301107375,fbg,55,74
51301107650,bde,143,41
51301111294,dfb,98,124
51301123093,aga,32,230
51301124198,gae,179,94
51301133504,fcd,134,33
51301165162,ded,208,231
51301187498,eed,214,6
51301235319,efa,232,233
51301259554,dfc,108,10
51301275346,dfg,193,104
51301289805,baa,152,215
51301295348,bfg,40,132
51301301872,bgc,249,244
51301370000,cab,70,259
51301374663,agb,147,228
51301387455,cda,229,155
51301447239,bab,74,37
51301464781,aga,45,211
51301495927,aeg,194,90
51301520263,cca,195,267
51301537019,beg,229,31
51301568488,bbc,269,293
51301616549,ebf,196,93
51301625440,cgg,171,19
51301636611,ffg,209,40
51301641844,aca,290,214
51301660795,gbg,169,276
51301663094,egf,137,29
51301689072,ggf,184,271
51301709375,ebe,118,95
51301794517,ddg,206,258
51301800819,ebc,106,175
51301850710,ede,18,53
51301869162,fbc,84,263
51301887579,fff,57,208
51301890113,dfe,280,215
51301964223,bda,56,107
51302015494,gde,150,127
51302031266,gga,259,26
51302045640,dfa,188,92
51302073768,dbg,200,229
51302092155,fca,176,323
51302096516,dec,211,150
51302129763,ggf,278,230
51302140989,cgd,171,230
51302171294,ebc,252,157
51302191334,bbc,289,298
51302205244,cfc,297,196
51302266493,cde,76,59
51302319650,eaf,27,69
51302376631,ged,17,232
51302386267,ced,7,33
51302386837,cac,203,27
51302413952,bea,87,75
51302422729,dfa,127,98
51302438391,gbf,112,27
51302440659,fcb,192,25
51302442159,bbg,286,261
51302490398,dde,85,59
51302494414,cfe,83,19
51302518625,gfe,133,9
51302539840,gcc,21,56
51302540882,dbc,218,111
51302549707,add,212,126
51302600253,edf,123,117
51302624566,aeb,53,12
51302633235,cbb,188,224
51302637392,dff,110,187
51302646588,ecb,260,266
51302651329,ccf,36,262
51302660326,cfg,5,42
51302691011,cgd,48,197
51302702495,eae,162,139
51302705824,cec,100,69
51302719996,dfd,29,125
51302748599,gdf,177,164
51302767861,cdd,197,251
51302782845,dec,224,178
51302790530,fca,163,384
51302793077,bge,222,101
51302860074,bfg,212,113
51302874454,ade,66,104
51302920465,fbd,145,14
51302935480,ecg,200,130
51302971909,ebg,89,45
51302976144,ecd,210,276
51302991863,ecf,135,285
51303014506,cce,142,220
51303054128,eea,252,205
51303066877,cbd,296,81
51303089354,gdd,269,192
51303106420,gba,2,74
51303150630,cca,270,234
51303165847,ada,74,284
51303215192,dfe,47,180
51303237122,bcd,65,69
51303242648,fdc,189,164
51303253509,acc,246,94
51303272110,gba,185,72
51303310913,fag,237,269
51303360977,gfe,76,8
51303380558,cba,80,47
51303381938,gdc,127,182
51303402223,dda,173,295
51303409064,daa,60,68
51303427591,aaf,120,63
51303434830,eaa,108,254
51303438566,ffg,272,32
51303448304,bgb,280,70
51303449775,cab,146,287
51303454032,bcd,143,64
51303522959,gbb,137,38
51303546124,ddd,176,53
51303571688,egd,135,242
51303593397,gee,160,154
51303641175,dgg,142,29
51303647531,dbg,14,183
51303665117,fac,287,24
51303693015,cbc,162,104
51303712888,dag,274,108
51303724371,gea,143,229
51303737974,aaf,176,52
51303750306,adc,262,189
51303774946,deb,207,238
51303828954,ccb,275,195
51303853053,bca,48,210
51303890370,bbb,143,278
51303892609,gda,100,65
51303932020,gcg,62,260
51303939220,fad,62,52
51303949000,fdg,133,198
51303961592,aac,255,297
51303969915,gef,250,99
51303975177,cdc,264,73
51304011883,cgg,73,18
51304053885,eea,17,188
51304080419,ffa,281,75
51304097069,abg,273,96
51304151181,fdf,181,77
51304171329,afe,53,182
51304196286,gge,59,124
51304203658,dda,206,289
51304206137,eed,200,6
51304231773,ggg,11,296
51304247643,gbe,148,81
51304263091,edg,38,147
51304273194,fgf,273,65
51304273300,egg,209,106
51304279507,aeg,249,94
51304283634,egd,226,220
51304306272,ddg,52,296
51304324729,bfb,148,198
51304364503,gaa,223,75
51304374832,geb,41,276
51304388430,dcg,219,24
51304395164,gbf,162,28
51304431725,eag,144,117
51304433303,bge,205,114
51304443172,dbe,185,65
51304563518,agc,144,5
51304563691,efb,108,243
51304576345,afg,226,21
51304608652,efg,137,248
51304653397,bed,132,144
51304676759,geb,277,325
51304677808,egf,162,23
51304693662,cfb,163,27
51304741164,eef,207,99
51304769437,ceb,212,172
51304826300,cbf,108,66
51304876164,cgf,148,7
51304885232,age,6,41
51304893180,dac,107,26
51304900120,bab,260,34
51304902404,fbb,11,203
51304905362,gec,269,153
51304916639,gdb,14,207
51304916821,adg,33,80
51304921235,aed,170,95
51304949425,bdb,186,249
51304949874,dcb,149,85
51304951435,gaa,48,60
51304958261,efc,171,16
51304997763,gbc,60,45
51305007078,acd,229,83
51305021494,aba,207,278
51305037706,gfc,191,142
51305047701,bga,5,110
51305060141,gce,1,42
51305066593,dbe,73,71
51305079186,bec,71,15
51305084395,dff,83,194
51305086317,def,36,151
51305086519,bga,64,119
51305102734,bba,284,55
51305104662,gbc,261,43
51305144890,aeg,120,89
51305186465,gee,197,167
51305186719,ace,99,170
51305202131,fef,9,158
51305206207,acc,12,89
51305216562,edd,74,48
51305220851,fba,19,206
51305223343,aag,111,11
51305240468,eda,236,232
51305252890,ced,205,31
51305283271,aee,228,255
51305295472,dbb,158,115
51305298792,gab,254,77
51305299142,egb,9,169
51305309965,cfg,6,40
51305318504,fcc,51,133
51305337978,gfb,213,94
51305357553,cdd,269,248
51305361763,cce,145,233
51305368141,egg,52,120
51305401242,efe,28,69
51305440396,gfd,14,224
51305450682,fbf,255,186
51305456582,cga,228,251
51305457187,abe,93,222
51305472275,ddc,106,45
51305497202,cbc,234,112
51305501284,adb,190,118
51305517274,efe,183,64
51305517623,bda,166,118
51305531743,eeb,235,56
51305542389,fbc,100,284
51305560875,dbe,279,71
51305576541,cag,288,280
51305598447,bgf,151,163
51305599937,dbf,146,33
51305607298,bcf,55,227
51305626810,bbd,56,154
51305652919,gcc,5,47
51305659238,bgc,46,231
51305680585,gee,62,140
51305694597,cfa,137,299
51305739828,ded,118,242
51305761812,fgd,52,146
51305780451,ccb,27,212
51305782472,gce,50,42
51305796394,ceb,45,144
51305835041,ega,43,123
51305840030,gdd,145,220
51305845332,bcd,236,55
51305869211,bac,29,18
51305897936,afa,261,226
51305971383,bbf,194,297
51305987615,ccc,135,254
51305993462,eab,176,225
51306005164,egc,15,78
51306015833,dae,50,12
51306038176,cac,220,23
51306043112,eac,263,77
51306052699,cfe,141,16
51306055321,agd,11,256
51306056756,dfg,51,118
51306061820,ged,166,197
51306061946,ccg,222,261
51306068957,fgb,5,187
51306080952,cgb,161,81
51306095864,fde,216,132
51306124974,gbf,241,23
51306128952,gaa,109,71
51306152265,aac,52,314
51306168642,cdf,30,264
51306169153,gdc,122,189
51306188012,eab,215,256
51306204539,eeg,78,14
51306222079,ede,237,47
51306256482,dea,94,20
51306271316,gea,160,192
51306278393,fba,59,177
51306284010,eee,138,44
51306298796,fag,174,255
51306325716,cae,43,125
51306326248,faf,76,278
51306342597,bfe,249,271
51306345177,fge,255,37
51306347037,gbd,261,128
51306359209,ccb,284,197
51306411817,bbg,1,237
51306413578,aab,176,58
51306418325,dca,26,160
51306468940,ebb,88,92
51306471353,bea,36,76
51306488675,abc,161,134
51306502782,gdg,285,246
51306506596,dga,119,75
51306508219,dcd,210,238
51306513804,cca,246,201
51306514934,fgf,43,76
51306529600,dce,123,156
51306535804,ddg,143,290
51306545272,bcc,146,240
51306578390,ddd,279,58
51306581513,adg,57,75
51306593863,eca,240,73
51306645338,edc,277,62
51306664057,dae,124,9
51306680459,cdb,291,230
51306742419,afg,155,17
51306746991,ccg,264,214
51306761485,fda,38,35
51306763831,aff,108,89
51306767118,ffc,12,199
51306785267,deg,195,158
